op0,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,power
1,6,6,9,8,13,6,8,3,5,2,2,6,8,6,12,2,9,2,5,2635.55
1,2,10,2,2,4,12,12,13,5,2,2,6,10,5,8,5,7,11,7,2576.97
1,10,8,8,9,3,4,5,5,10,6,8,13,6,11,11,7,4,8,2,2602.50
1,6,5,6,10,12,5,11,9,13,3,5,5,11,9,2,2,6,13,8,2592.17
1,10,5,2,11,2,8,7,11,7,13,9,12,11,6,13,6,9,5,10,2601.50
1,5,4,6,7,9,7,10,10,8,3,11,3,3,12,11,8,2,6,7,2597.56
1,7,3,8,4,9,11,4,6,13,9,2,7,9,11,9,5,12,5,7,2588.54
1,5,6,9,10,11,10,2,8,9,11,8,11,13,12,12,3,7,9,6,2618.07
1,2,9,3,9,4,2,2,2,5,7,9,10,7,4,11,13,12,5,10,2569.77
1,5,6,10,11,2,7,5,5,9,2,9,8,4,4,6,4,11,5,6,2599.52
1,9,11,13,13,11,2,13,2,4,4,6,6,13,9,12,5,11,10,8,2585.95
1,2,11,10,5,4,5,8,4,7,5,7,2,6,10,6,4,12,11,13,2588.86
1,2,9,9,3,10,4,11,10,9,4,12,4,3,8,12,3,11,6,3,2590.48
1,12,13,11,12,13,12,11,2,11,13,8,12,5,11,13,10,4,9,9,2611.13
1,8,8,8,6,3,5,13,3,4,7,2,6,4,12,11,11,7,9,8,2591.54
1,10,8,2,5,13,13,7,12,3,12,12,13,6,8,5,6,8,7,10,2629.05
1,10,8,13,7,8,10,11,9,13,12,4,11,3,4,12,5,12,11,2,2596.69
1,11,6,3,6,9,8,3,6,5,5,10,13,12,4,4,11,6,12,10,2588.95
1,2,10,11,3,6,2,9,5,2,12,11,13,2,9,6,3,11,6,2,2605.88
1,11,6,12,4,2,13,13,12,5,5,2,10,4,6,3,8,4,12,4,2573.04
1,10,8,10,5,9,11,10,9,6,2,4,2,13,7,5,3,5,3,6,2576.76
1,8,4,3,11,13,6,6,5,4,10,11,5,4,2,12,5,7,12,10,2587.05
1,8,10,13,5,9,12,2,6,8,7,7,8,7,11,12,2,10,12,9,2565.89
1,6,5,11,10,12,3,11,13,5,4,10,2,5,9,12,5,10,10,10,2584.10
1,5,5,8,12,9,12,11,7,8,12,9,6,6,9,9,13,9,7,12,2570.65
1,9,11,5,11,9,10,6,7,3,3,10,11,8,2,3,4,5,8,8,2589.64
1,4,2,12,8,11,9,8,8,11,9,11,4,10,5,4,3,2,2,13,2608.56
1,10,4,5,5,4,7,10,2,11,6,7,9,2,5,3,5,7,11,9,2600.00
1,8,9,3,3,12,7,4,2,3,12,3,8,11,12,3,11,2,7,13,2585.28
1,5,12,3,8,8,5,13,6,2,4,10,7,6,6,6,10,11,3,12,2567.30
1,13,11,3,11,5,2,11,4,9,12,7,12,13,10,13,9,3,4,5,2591.81
1,7,4,6,4,11,4,3,6,9,8,9,3,6,2,10,13,10,4,12,2571.59
1,9,3,2,12,4,7,8,2,2,10,12,13,11,7,11,6,9,13,6,2603.25
1,12,4,11,6,7,3,13,13,13,11,5,5,9,13,6,5,7,7,4,2578.41
1,2,3,3,13,13,2,2,3,4,7,9,13,10,5,3,7,3,3,6,2633.42
1,6,5,3,13,8,8,11,5,10,5,7,6,13,3,12,3,8,3,7,2571.28
1,6,10,8,13,9,5,3,2,11,4,2,2,12,13,13,7,7,2,13,2580.38
1,10,12,3,3,9,8,9,2,9,3,13,7,3,5,8,11,7,2,9,2570.17
1,5,4,6,2,9,12,2,3,2,7,8,5,13,4,7,3,6,5,9,2625.04
1,3,8,3,5,7,5,5,3,11,10,2,7,3,8,8,8,9,11,10,2590.53
1,6,13,4,6,13,10,5,3,9,6,7,12,4,3,4,8,4,8,13,2627.64
1,10,4,12,6,8,2,9,8,6,8,6,5,12,13,4,4,5,3,9,2624.88
1,2,11,12,2,12,7,4,12,11,11,4,4,3,9,2,3,9,3,5,2605.82
1,9,13,12,5,13,5,5,2,8,6,11,8,2,4,2,13,11,2,9,2587.47
1,2,13,2,3,7,3,8,11,3,7,6,13,9,11,8,4,12,2,5,2589.99
1,12,5,13,12,6,8,9,10,7,3,8,10,11,3,6,6,8,11,2,2598.53
1,10,2,4,7,10,2,8,9,11,7,6,6,7,11,3,7,13,13,13,2585.46
1,4,5,12,7,10,3,5,10,7,12,3,2,4,4,9,9,2,8,7,2633.44
1,11,10,10,5,10,8,2,4,7,8,13,3,4,3,12,9,11,13,7,2587.58
1,6,9,2,8,10,13,6,13,9,2,4,3,2,13,9,9,2,6,7,2639.23
1,10,3,8,8,4,13,9,9,3,7,8,2,11,10,5,7,3,10,10,2575.52
1,8,9,10,5,5,12,10,9,7,13,10,13,10,2,11,7,3,9,3,2566.86
1,13,7,11,9,13,9,5,10,6,12,13,5,3,8,2,9,8,4,6,2574.97
1,3,10,2,7,11,9,13,13,12,12,3,10,2,3,12,3,8,11,11,2604.60
1,4,13,10,11,9,9,6,13,3,9,13,9,7,11,12,7,4,6,11,2606.62
1,7,5,8,6,8,3,7,7,4,4,4,3,7,9,11,8,6,9,12,2573.19
1,10,12,3,9,7,7,7,3,6,2,3,3,7,11,7,2,4,6,5,2571.04
1,13,5,11,4,4,4,3,7,8,9,3,8,11,6,4,2,11,7,2,2610.11
1,3,3,7,2,11,5,3,9,11,11,13,12,9,3,9,5,4,4,8,2591.59
1,10,8,6,11,4,3,11,5,12,7,2,8,11,12,13,6,5,4,10,2587.15
1,6,2,12,3,10,8,8,4,12,13,10,11,9,6,5,11,6,13,9,2595.69
1,12,4,9,2,11,6,7,8,13,2,11,11,10,11,7,4,13,11,3,2598.11
1,8,11,7,6,6,10,12,13,7,4,13,13,2,5,7,3,8,11,12,2588.96
1,8,9,7,8,11,7,13,11,5,12,11,4,5,13,8,5,13,3,5,2584.02
1,12,5,4,10,8,5,12,9,12,9,8,11,7,5,12,2,8,9,13,2568.30
1,10,5,2,7,5,12,5,8,13,8,9,12,10,3,5,9,12,8,9,2625.93
1,7,9,4,5,10,11,9,10,5,9,6,3,5,9,13,9,10,9,5,2568.10
1,4,12,3,8,11,3,9,2,13,3,2,8,13,12,8,5,2,9,7,2569.21
1,6,9,7,8,6,13,12,5,10,2,6,13,10,13,2,10,11,4,2,2574.32
1,12,11,9,13,10,12,9,11,12,9,7,5,12,7,2,10,12,8,11,2601.22
1,7,13,7,12,8,7,6,3,6,2,13,2,7,2,2,9,13,6,7,2625.49
1,13,11,5,2,4,7,11,9,13,13,9,11,12,12,6,4,5,10,9,2595.48
1,5,8,13,2,4,11,12,3,2,4,9,4,10,9,11,3,2,10,12,2589.79
1,13,5,9,11,8,4,5,11,3,10,9,7,7,10,5,4,12,9,6,2593.09
1,10,7,13,8,6,7,2,10,4,6,4,3,7,7,9,2,6,11,4,2569.22
1,12,8,4,2,2,4,13,5,13,12,4,2,5,12,8,10,5,3,8,2624.75
1,8,5,9,10,5,8,10,2,6,6,13,12,5,6,5,13,11,4,4,2576.35
1,4,5,6,10,7,11,2,6,12,2,12,7,7,10,6,9,5,12,11,2589.63
1,5,10,10,5,13,6,6,5,4,9,13,13,3,8,7,11,3,7,8,2580.54
1,3,11,13,11,13,6,8,13,5,2,9,8,11,9,7,5,4,9,8,2607.96
1,5,12,13,5,2,10,6,11,3,12,3,3,3,6,5,11,2,11,3,2603.45
1,3,2,8,3,13,11,7,11,4,12,5,13,12,2,2,6,9,13,12,2581.85
1,4,4,10,2,12,7,3,11,12,3,5,5,11,11,11,9,6,12,13,2599.01
1,12,8,13,11,11,5,4,13,2,6,6,9,4,5,4,11,10,9,7,2574.26
1,11,3,4,9,4,12,13,11,7,11,5,2,11,3,10,8,2,11,9,2614.69
1,12,2,4,13,13,12,9,4,7,11,8,11,7,11,10,5,11,6,7,2602.14
1,3,13,13,4,5,11,7,12,8,4,6,13,7,13,10,8,8,11,13,2578.12
1,9,13,11,12,2,5,7,13,6,9,5,7,11,2,11,5,4,10,13,2607.01
1,11,11,7,12,6,3,3,2,3,2,5,8,11,9,13,12,12,9,10,2605.28
1,2,10,4,4,13,8,10,6,10,11,9,5,11,8,3,7,3,4,10,2585.68
1,10,2,8,9,7,12,8,3,3,2,11,11,2,12,11,12,7,8,5,2563.77
1,9,10,5,10,13,3,12,5,11,4,11,12,6,10,11,10,5,4,9,2585.89
1,9,4,13,8,13,6,11,11,8,4,3,8,9,11,8,4,8,2,5,2586.30
1,12,4,12,12,4,12,12,4,10,7,11,12,10,13,2,8,4,11,10,2588.51
1,13,2,9,7,10,12,11,4,7,12,6,12,13,6,13,2,8,10,2,2565.65
1,13,8,4,7,10,6,11,6,9,10,11,12,4,13,6,5,13,3,3,2578.33
1,12,5,11,12,3,7,4,5,10,7,10,6,7,9,12,2,4,5,9,2567.01
1,10,10,8,3,12,13,11,3,11,6,9,10,8,13,9,4,9,2,9,2569.30
1,4,5,9,5,8,4,9,10,12,3,13,6,8,13,8,3,10,11,5,2582.69
1,7,10,6,5,8,2,13,13,6,12,11,8,6,9,9,10,7,5,9,2569.44
1,13,6,13,9,3,11,13,11,9,5,7,7,8,12,6,8,4,9,11,2588.03
1,6,3,12,11,4,13,3,4,12,9,10,11,6,5,7,5,8,7,2,2592.88
1,12,9,13,9,3,2,5,10,6,3,3,2,11,5,10,6,4,7,4,2570.39
1,8,5,9,13,5,9,11,8,2,4,3,10,11,6,13,2,2,8,13,2570.99
1,4,11,4,10,3,11,9,9,5,5,12,2,10,13,4,12,3,6,10,2584.10
1,3,13,9,9,8,12,7,12,7,8,12,4,4,7,10,3,7,2,13,2622.67
1,10,2,12,13,11,8,9,3,8,4,7,12,7,2,11,11,12,3,11,2599.38
1,9,5,3,6,2,11,4,5,4,13,9,8,10,12,12,7,13,2,12,2578.78
1,9,11,8,7,12,12,10,7,10,7,3,12,3,3,10,9,2,2,9,2575.50
1,10,13,2,9,13,3,13,2,13,4,10,7,12,7,2,10,9,2,3,2626.41
1,12,3,5,9,7,11,2,10,6,2,9,3,9,3,4,9,6,2,6,2571.58
1,5,4,13,12,11,9,8,3,8,8,11,8,4,5,6,11,8,7,2,2613.76
1,13,11,11,10,12,9,13,6,13,12,5,4,9,3,2,11,10,4,5,2599.79
1,2,2,10,12,13,12,6,5,9,3,7,8,12,3,4,7,8,13,2,2624.12
1,8,9,11,4,12,12,10,5,5,10,5,2,12,6,11,13,6,6,5,2581.43
1,5,6,10,3,4,9,8,4,7,5,7,2,10,13,6,4,13,4,7,2636.15
1,8,8,3,3,4,3,4,5,4,4,10,13,2,2,6,13,6,7,2,2635.56
1,13,7,8,4,13,9,2,9,3,5,11,8,6,10,4,6,6,2,12,2566.83
1,5,11,10,3,6,9,13,5,7,12,9,3,12,3,3,5,5,5,2,2569.33
1,7,2,8,5,13,6,12,4,7,13,11,5,5,12,6,4,9,3,10,2564.09
1,4,5,12,2,12,7,6,4,13,6,10,9,4,5,12,6,8,6,5,2624.52
1,13,2,13,13,11,11,12,10,2,5,8,12,2,2,2,12,8,13,13,2578.33
1,3,13,3,13,13,12,3,6,8,7,3,10,4,6,11,12,4,2,13,2566.32
1,4,13,3,3,11,4,4,10,9,11,7,13,4,4,7,4,8,5,2,2584.06
1,11,7,7,10,9,2,4,6,6,5,2,6,3,9,6,7,4,10,10,2576.20
1,6,3,5,9,11,9,5,9,9,7,10,5,9,11,4,8,6,5,4,2594.82
1,10,6,6,5,5,4,10,8,2,3,4,2,3,3,12,5,4,8,3,2636.91
1,10,2,12,13,7,13,6,12,11,5,10,11,3,4,6,8,9,13,7,2588.93
1,4,4,6,4,7,9,4,12,4,3,2,8,10,8,12,8,13,9,8,2625.36
1,11,2,9,13,9,10,6,5,7,2,4,8,6,13,11,13,11,9,5,2615.89
1,3,7,6,6,3,4,9,3,11,4,5,9,10,12,6,10,10,4,11,2591.45
1,6,13,4,3,9,9,13,9,7,2,2,8,2,13,3,6,2,2,8,2639.09
1,5,6,4,6,2,6,6,10,8,9,8,9,6,5,5,5,8,3,7,2637.49
1,2,5,8,5,10,6,8,11,6,10,6,12,12,11,11,5,6,13,9,2592.66
1,10,8,10,12,7,11,7,3,9,6,5,2,9,2,3,5,11,12,7,2596.26
1,2,13,5,4,9,8,3,7,12,2,13,4,2,11,7,3,11,12,4,2588.00
1,12,10,3,11,9,2,6,9,10,9,7,13,4,2,5,13,8,8,4,2568.00
1,3,11,9,11,7,5,8,2,12,9,7,8,2,2,13,2,10,6,5,2585.34
1,4,12,13,2,8,5,11,7,4,8,13,3,10,11,12,13,13,12,11,2594.66
1,10,8,5,12,3,7,10,6,2,3,10,7,2,9,9,12,5,4,8,2624.74
1,3,5,4,3,11,11,3,12,7,12,7,8,3,9,9,3,5,10,13,2582.61
1,6,4,9,3,13,9,4,2,4,5,12,8,13,3,11,4,11,11,2,2589.36
1,10,2,6,12,4,9,6,6,3,8,8,5,9,3,5,9,8,6,3,2633.17
1,2,13,5,12,4,2,2,8,2,2,4,3,7,6,2,6,6,2,9,2629.50
1,12,5,7,9,7,10,8,4,6,7,12,13,13,8,5,3,8,4,3,2624.82
1,7,3,12,10,12,2,7,11,5,5,7,8,9,3,13,9,3,11,5,2590.31
1,2,13,4,8,10,3,12,7,7,9,3,6,2,10,4,5,10,12,12,2622.63
1,13,2,6,7,3,13,11,10,7,13,3,6,11,5,13,11,9,12,13,2615.51
1,12,6,9,8,6,8,4,11,7,8,10,5,4,5,12,7,12,8,11,2585.13
1,2,11,7,10,11,2,9,4,8,8,10,3,12,2,9,7,12,13,10,2584.72
1,10,12,5,9,4,9,12,2,4,10,10,3,6,8,3,12,7,10,10,2629.44
1,8,2,5,8,6,7,4,9,9,3,12,3,13,3,8,9,4,10,9,2624.71
1,5,5,4,5,8,9,9,7,5,2,8,2,2,4,12,9,3,7,10,2628.72
1,3,3,5,10,5,3,13,3,5,6,9,2,9,8,12,7,7,11,6,2566.96
1,13,12,6,3,3,7,12,5,5,11,2,3,2,7,5,3,6,12,4,2567.02
1,3,3,4,7,10,8,9,6,9,7,5,6,11,2,6,2,8,10,8,2575.97
1,2,4,3,6,6,2,5,6,4,3,12,10,6,6,2,13,10,10,8,2625.14
1,11,4,3,8,12,6,4,2,7,11,13,13,10,6,5,3,7,3,5,2587.31
1,9,12,6,13,3,11,8,11,3,7,13,8,6,8,4,10,11,10,13,2619.60
1,2,5,10,9,7,13,2,12,12,3,5,2,5,3,5,11,9,3,10,2575.58
1,13,8,5,6,8,11,12,11,4,4,13,7,11,8,3,11,10,4,3,2602.72
1,9,9,4,2,3,12,2,13,12,11,3,8,9,4,9,10,8,8,8,2565.12
1,9,9,9,13,13,9,8,6,6,7,9,3,4,10,13,2,13,13,6,2634.89
1,6,4,11,7,6,12,6,11,3,7,13,6,2,6,3,8,11,6,10,2611.47
1,11,13,4,2,10,11,7,10,9,2,12,7,10,2,6,7,8,6,4,2588.29
1,5,4,7,10,5,2,11,8,3,2,3,6,7,9,10,6,11,2,6,2590.72
1,13,13,7,4,2,13,10,12,12,9,4,13,2,3,13,7,8,7,7,2631.84
1,13,8,12,2,10,4,11,2,8,8,7,3,11,2,9,2,9,12,2,2581.60
1,5,8,10,9,4,9,7,7,9,9,8,5,2,6,9,13,3,4,6,2634.71
1,13,4,9,2,7,5,8,2,10,2,12,8,9,4,2,5,5,12,7,2626.20
1,11,6,9,3,7,12,11,8,13,13,7,7,11,6,7,2,10,2,13,2599.27
1,3,13,3,4,4,10,5,5,11,9,5,3,4,6,4,13,4,7,6,2570.84
1,3,3,13,5,6,5,6,13,11,8,6,4,4,7,13,4,9,2,3,2582.14
1,7,11,8,6,13,4,3,4,3,10,10,7,13,5,13,7,2,13,7,2591.64
1,6,2,13,3,4,6,4,5,12,8,8,3,5,7,3,13,2,13,9,2631.58
1,7,2,4,6,5,13,9,6,3,3,9,4,2,9,9,11,12,6,4,2563.75
1,3,3,4,11,13,13,3,13,7,10,8,11,11,11,13,10,4,12,2,2611.48
1,7,4,2,2,7,7,12,13,6,2,11,10,13,4,3,6,5,11,2,2567.22
1,12,5,4,7,13,9,12,8,4,12,3,13,11,2,13,4,6,8,6,2573.56
1,12,5,5,9,9,7,7,13,8,6,9,10,9,8,8,2,9,12,5,2625.78
1,6,9,13,13,5,12,11,9,9,12,5,13,4,12,12,4,6,11,3,2592.07
1,5,12,10,12,5,12,12,6,12,11,12,12,6,13,3,11,3,6,10,2595.43
1,6,10,6,4,8,2,4,11,8,11,7,3,6,10,2,6,10,5,12,2576.39
1,4,6,7,6,2,6,6,10,4,13,3,3,11,7,4,6,7,10,11,2587.91
1,13,12,5,9,10,10,8,10,4,4,5,7,9,7,4,13,8,12,5,2623.70
1,6,10,8,6,5,7,11,8,11,2,12,4,6,8,5,11,13,5,12,2597.82
1,4,3,9,5,2,12,7,9,11,6,7,8,6,13,13,12,10,6,9,2566.15
1,2,4,3,5,10,9,2,7,8,6,7,3,8,6,8,2,12,3,9,2624.50
1,7,2,5,10,6,4,4,11,4,6,13,3,8,5,12,7,11,13,13,2567.75
1,7,11,7,4,6,6,12,10,3,8,6,6,9,9,8,7,5,13,9,2591.30
1,13,7,11,13,11,8,6,9,12,5,4,7,8,9,8,5,9,4,5,2579.87
1,8,8,6,13,13,12,4,11,10,6,10,9,6,6,9,4,6,13,7,2570.79
1,5,6,4,12,11,13,8,9,2,13,13,8,9,13,5,2,11,11,11,2614.22
1,13,13,2,2,13,11,13,9,5,5,3,5,6,2,6,12,2,11,13,2580.75
1,9,2,11,8,2,13,7,8,7,5,9,12,9,5,7,13,2,4,4,2574.66
1,9,3,11,11,11,12,12,12,7,12,7,7,10,3,3,5,13,5,9,2625.42
1,12,4,2,9,2,3,5,4,9,3,10,4,5,9,8,3,10,5,6,2634.67
1,9,3,12,6,4,12,3,5,5,12,8,3,8,4,3,13,2,11,7,2574.92
1,4,11,13,13,13,7,2,3,3,9,6,7,3,10,7,8,6,6,9,2573.08
1,4,11,13,6,6,2,7,3,12,5,4,13,12,11,2,12,3,10,5,2581.78
1,6,9,8,6,10,12,2,10,3,2,7,6,11,2,7,6,10,6,10,2573.46
1,8,13,7,12,7,10,2,9,3,12,10,4,4,8,2,4,4,6,9,2622.18
1,5,3,2,4,10,2,3,8,8,10,11,9,2,6,4,5,5,6,5,2575.13
1,12,9,3,3,7,7,4,4,10,8,6,13,6,2,6,10,5,2,12,2626.32
1,3,6,3,11,10,12,9,7,10,13,2,13,4,3,13,7,3,5,3,2570.18
1,13,10,12,4,9,6,9,10,13,10,8,9,10,6,12,10,4,7,13,2623.18
1,5,3,7,10,2,12,4,5,6,3,3,11,2,3,4,3,4,3,9,2571.70
1,10,13,9,2,6,5,5,13,7,7,7,5,12,6,4,11,4,12,3,2568.22
1,10,4,6,5,11,2,6,11,9,3,2,8,6,12,13,8,11,7,2,2607.28
1,5,11,5,7,12,9,8,10,13,12,2,11,2,12,6,2,11,9,6,2607.31
1,6,7,5,9,4,9,10,3,12,10,4,11,7,9,11,7,10,6,7,2603.41
1,8,5,4,13,8,13,2,12,8,2,6,8,11,3,5,6,10,4,2,2572.15
1,7,5,3,7,8,12,5,4,13,2,13,11,5,8,3,12,3,13,5,2575.06
1,2,8,6,10,8,8,4,4,10,8,7,9,9,12,12,8,5,10,5,2624.61
1,13,7,4,13,9,4,5,12,10,12,12,2,5,5,8,2,3,3,7,2627.45
1,12,12,10,4,12,2,7,7,12,6,2,4,7,13,10,13,4,10,9,2625.71
1,2,5,3,8,10,13,12,9,13,8,11,6,13,13,2,7,9,5,5,2569.31
1,6,9,2,9,3,8,2,9,7,12,9,6,2,2,12,12,3,2,7,2633.25
1,4,10,12,11,6,7,12,13,12,2,4,6,5,3,7,9,8,12,11,2588.97
1,9,7,5,12,6,4,13,6,2,10,9,6,9,11,4,6,8,7,3,2567.65
1,6,2,5,13,10,7,7,7,12,12,4,13,3,8,5,11,8,8,10,2588.97
1,12,2,8,9,6,5,8,4,13,6,11,12,12,4,7,5,7,6,7,2565.77
1,9,12,12,4,12,8,5,13,2,11,6,9,4,2,12,13,7,8,6,2567.30
1,13,7,8,13,3,12,11,11,4,13,10,3,13,10,11,7,3,12,3,2578.63
1,2,7,8,12,11,12,6,13,12,13,7,2,9,8,6,8,5,13,10,2563.15
1,6,10,9,2,9,3,6,9,3,2,5,10,11,8,3,5,6,11,7,2595.38
1,2,2,2,5,9,5,6,4,6,6,8,2,5,3,9,6,13,11,9,2571.82
1,5,3,4,8,8,3,3,6,12,2,9,4,13,12,12,2,13,9,13,2625.12
1,4,3,3,5,6,4,5,3,13,11,8,8,13,10,2,12,9,2,5,2566.28
1,3,11,5,7,9,5,9,9,10,12,10,11,13,3,5,5,9,4,3,2598.05
1,11,13,13,7,11,7,2,11,10,8,6,5,2,13,9,2,5,5,13,2607.23
1,8,12,4,7,11,2,11,9,8,8,6,7,3,8,3,5,12,9,9,2573.92
1,13,5,9,9,7,10,13,4,7,13,7,8,2,3,3,6,13,5,4,2628.49
1,12,3,6,12,8,3,3,6,3,3,8,11,13,5,13,10,11,6,6,2585.88
1,2,6,12,5,9,7,2,13,5,9,7,5,11,13,10,6,3,12,7,2579.61
1,9,7,6,8,8,5,4,8,12,4,3,3,3,12,13,13,12,13,9,2626.27
1,9,10,10,6,8,11,7,11,5,11,8,5,13,13,8,4,11,5,11,2605.77
1,4,8,2,13,7,9,3,13,11,13,8,9,9,5,8,5,10,6,10,2570.78
1,2,7,2,4,7,6,9,4,8,5,10,7,8,7,12,2,11,13,2,2548.96
1,13,10,5,12,3,13,5,9,9,11,2,3,5,5,2,12,7,3,12,2565.06
1,11,12,8,11,3,10,10,4,3,12,6,10,11,5,11,7,7,10,6,2614.79
1,8,13,9,3,4,3,3,12,9,11,10,8,8,12,10,6,10,10,7,2568.98
1,13,7,12,10,11,9,3,3,13,4,9,3,13,2,4,4,2,11,4,2584.71
1,6,3,6,9,9,6,11,4,7,2,5,4,4,7,8,2,13,6,7,2576.30
1,10,13,9,7,8,13,12,11,12,13,2,6,8,9,11,2,13,3,8,2582.94
1,4,3,4,13,2,3,3,7,8,13,8,5,4,11,5,5,10,10,2,2578.14
1,13,3,4,4,8,7,2,9,11,2,6,13,12,6,13,6,2,10,6,2569.41
1,5,8,10,3,13,7,3,5,9,13,5,11,6,8,8,2,11,11,7,2607.36
1,4,12,11,3,8,6,10,2,13,4,7,5,6,9,9,2,3,2,3,2569.39
1,11,12,4,12,4,4,2,5,9,10,5,12,2,13,5,11,9,7,2,2583.24
